	logFC	logCPM	PValue	FDR	sig	color
OTU1065	1.61886548	9.283193307	1	1	none	none
OTU1066	1.61886548	9.283193307	1	1	none	none
OTU1071	1.61886548	9.283193307	1	1	none	none
OTU1090	1.61886548	9.283193307	1	1	none	none
OTU1110	1.61886548	9.283193307	1	1	none	none
OTU1112	1.61886548	9.283193307	1	1	none	none
OTU1119	1.61886548	9.283193307	1	1	none	none
OTU1127	1.61886548	9.283193307	1	1	none	none
OTU1199	1.61886548	9.283193307	1	1	none	none
OTU1221	1.61886548	9.283193307	1	1	none	none
OTU1358	1.61886548	9.283193307	1	1	none	none
OTU1369	1.61886548	9.283193307	1	1	none	none
OTU1375	1.61886548	9.283193307	1	1	none	none
OTU1475	1.61886548	9.283193307	1	1	none	none
OTU1476	1.61886548	9.283193307	1	1	none	none
OTU1492	1.61886548	9.283193307	1	1	none	none
OTU1543	1.61886548	9.283193307	1	1	none	none
OTU1670	1.61886548	9.283193307	1	1	none	none
OTU1686	1.61886548	9.283193307	1	1	none	none
OTU1722	1.61886548	9.283193307	1	1	none	none
OTU1727	1.61886548	9.283193307	1	1	none	none
OTU1734	1.61886548	9.283193307	1	1	none	none
OTU1749	1.61886548	9.283193307	1	1	none	none
OTU1791	1.61886548	9.283193307	1	1	none	none
OTU1849	1.61886548	9.283193307	1	1	none	none
OTU1960	1.61886548	9.283193307	1	1	none	none
OTU1999	1.61886548	9.283193307	1	1	none	none
OTU2010	1.61886548	9.283193307	1	1	none	none
OTU2018	1.61886548	9.283193307	1	1	none	none
OTU2028	1.61886548	9.283193307	1	1	none	none
OTU2042	1.61886548	9.283193307	1	1	none	none
OTU2064	1.61886548	9.283193307	1	1	none	none
OTU2066	1.61886548	9.283193307	1	1	none	none
OTU2096	1.61886548	9.283193307	1	1	none	none
OTU2105	1.61886548	9.283193307	1	1	none	none
OTU2167	1.61886548	9.283193307	1	1	none	none
OTU2286	1.61886548	9.283193307	1	1	none	none
OTU383	1.53604426	9.649874228	0.187805489	1	none	none
OTU2306	1.528857079	9.650668401	0.187805489	1	none	none
OTU76	1.464477341	9.731836871	0.116667134	1	none	none
OTU114	1.388474481	9.402915126	0.628092823	1	none	none
OTU720	1.385383957	9.39993638	0.628092823	1	none	none
OTU1739	1.382589381	9.397664623	0.628092823	1	none	none
OTU354	1.380206111	9.394736173	0.502074689	1	none	none
OTU603	1.379925218	9.394559827	0.502074689	1	none	none
OTU2302	1.379903069	9.39674706	1	1	none	none
OTU805	1.378736959	9.397438083	1	1	none	none
OTU896	1.377005465	9.396883949	1	1	none	none
OTU791	1.376104434	9.395541197	1	1	none	none
OTU320	1.375929757	9.396879527	1	1	none	none
OTU520	1.37575105	9.393236158	0.502074689	1	none	none
OTU407	1.375649267	9.393293052	0.502074689	1	none	none
OTU305	1.374556082	9.396112248	1	1	none	none
OTU378	1.37251895	9.395793098	1	1	none	none
OTU278	1.285276105	9.50289962	0.380154705	1	none	none
OTU183	1.283460313	9.497640539	0.628092823	1	none	none
OTU87	1.281798962	9.497110451	0.628092823	1	none	none
OTU131	1.246500022	9.598223869	0.4598491	1	none	none
OTU224	1.236568531	9.593699026	0.4598491	1	none	none
OTU50	1.143167733	9.936850336	0.437254867	1	none	none
OTU1857	1.117070495	10.08337794	0.377738262	1	none	none
OTU1517	1.01679955	10.24121366	0.231243951	1	none	none
OTU69	1.004820916	9.901615589	0.129824467	1	none	none
OTU117	1.000272612	10.11775829	0.282512091	1	none	none
OTU70	0.99447338	10.10177037	0.255084744	1	none	none
OTU75	0.957384887	9.896640352	0.591171518	1	none	none
OTU397	0.956387704	9.812584627	0.557962066	1	none	none
OTU132	0.942154674	9.727479819	0.515832351	1	none	none
OTU111	0.919257609	9.644971035	0.731017973	1	none	none
OTU123	0.91464714	9.638089554	0.4598491	1	none	none
OTU44	0.899121341	10.53934431	0.406935107	1	none	none
OTU171	0.868933335	9.548284727	0.691342343	1	none	none
OTU362	0.858529348	9.550336342	1	1	none	none
OTU790	0.844367858	10.00474568	0.349025479	1	none	none
OTU42	0.838931105	9.998824392	0.316599294	1	none	none
OTU187	0.802094623	9.451120182	0.628092823	1	none	none
OTU949	0.798867875	9.451309026	0.628092823	1	none	none
OTU1011	0.79546927	9.444678792	1	1	none	none
OTU61	0.761917921	10.83835091	0.136133923	1	none	none
OTU1909	0.744931008	10.41807985	0.351970373	1	none	none
OTU1412	0.655915012	10.78698783	0.260919122	1	none	none
OTU647	0.641434843	9.341634924	1	1	none	none
OTU179	0.640151588	9.688023548	1	1	none	none
OTU545	0.638739351	9.338523803	1	1	none	none
OTU482	0.636992047	9.337970478	1	1	none	none
OTU644	0.636992047	9.337970478	1	1	none	none
