name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU2084	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__norank	f__norank	g__norank	s__norank
OTU2085	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Frankiaceae	g__Jatrophihabitans	s__norank
OTU2086	k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__norank	g__norank	s__norank
OTU2087	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2088	k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__RB41	s__norank
OTU2089	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2090	k__Bacteria	p__unidentified_Bacteria	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__norank	s__norank
OTU2091	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2092	k__Bacteria	p__Chlamydiae	c__unidentified_Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__Neochlamydia	s__norank
OTU2093	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus
OTU2094	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__NK4A214_group	s__Lachnospiraceae_bacterium_19gly4
OTU2095	k__Bacteria	p__Nitrospirota	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__norank	s__norank
OTU2096	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus_Solibacter	s__norank
OTU2097	k__Bacteria	p__Candidatus_Gottesmanbacteria	c__Microgenomatia	o__norank	f__norank	g__norank	s__norank
OTU2098	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae_(Subgroup_1)	g__Edaphobacter	s__norank
OTU2099	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__norank
OTU2100	k__Bacteria	p__unidentified_Bacteria	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__norank	s__norank
OTU2101	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__norank	f__norank	g__norank	s__norank
OTU2102	k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus_Solibacter	s__norank
OTU2103	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2104	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatimonadales	f__Gemmatimonadaceae	g__norank	s__norank
OTU2105	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2106	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__norank	s__norank
OTU2107	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__norank	s__norank
OTU2108	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU2109	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__norank
