	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU101	0	4	1	1	2	3	0	3	1	1	0	0	2	1	0	2	0	1	0	4	2	2	1	1	1	0	0	0	0	0
OTU102	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	0	0	0	0	0	3	10	7	0	0	0	0	0	0	2	3	0	1	0	0	0	0	1	0	5	6
OTU104	1	0	1	0	0	1	1	0	0	1	0	3	1	2	1	2	0	0	5	1	4	0	0	0	4	2	6	0	0	0
OTU105	0	0	2	0	1	1	1	0	0	0	0	2	1	0	2	0	0	0	1	0	0	2	4	2	0	0	0	0	2	2
OTU106	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	12	4	2	0	0	0	0	2	0	1	0	1
OTU107	0	1	0	1	0	0	0	0	1	2	0	2	1	0	4	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0
OTU108	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
OTU109	0	1	2	0	1	5	2	0	1	0	0	1	3	0	0	1	0	0	3	1	1	2	0	0	1	1	1	2	0	0
OTU110	0	4	0	0	1	1	3	0	0	2	0	0	1	0	0	1	0	0	9	2	0	0	0	0	0	0	0	2	0	0
OTU111	0	1	1	2	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU112	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	0	1	2	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	1	2	1	5	0	0
OTU114	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	1	1	0	1	0	0	1	2	0	2	11	5
OTU115	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
OTU116	3	2	14	4	4	14	0	2	1	1	0	5	1	3	1	1	0	1	0	0	1	1	0	0	0	1	0	2	0	0
OTU117	4	1	0	0	2	3	1	0	0	0	0	2	4	0	3	2	0	1	0	0	0	2	0	1	0	0	1	0	0	0
OTU118	0	0	2	1	0	2	1	0	2	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	1	2	1
OTU119	0	2	5	3	0	1	0	0	0	1	0	2	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU120	0	9	0	5	1	11	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU121	0	1	1	2	0	1	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	1	2	2	1	0	2
OTU122	1	4	5	1	2	4	0	0	1	0	0	4	0	3	1	6	0	0	0	2	1	0	0	1	0	0	1	7	2	0
OTU123	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	2	0	0	1	2	0	13	0	0
OTU124	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0
OTU125	0	0	0	0	0	1	1	3	0	0	0	1	1	1	0	0	1	0	0	1	2	1	3	3	1	1	0	1	1	0
OTU126	2	4	5	0	7	0	1	2	0	0	0	2	4	2	2	1	0	2	1	0	1	0	0	0	1	0	0	1	0	0
OTU127	2	0	1	4	5	1	1	1	0	0	0	1	2	0	1	1	2	0	1	0	1	2	0	0	1	0	0	0	1	1
OTU128	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	20	0	19	1	0	0	1	0	1	0	0	0
OTU129	0	1	5	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	3	0	3	0	0
OTU130	1	3	2	2	0	0	1	0	0	3	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0
