name	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_841	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__norank	g__norank	s__norank
OTU_842	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Fimbriiglobus	s__norank
OTU_843	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU_844	k__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca	s__norank
OTU_845	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__norank	g__norank	s__norank
OTU_846	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__norank
OTU_847	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__norank	g__norank	s__norank
OTU_848	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__norank	f__norank	g__norank	s__norank
OTU_849	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chroococcidiopsaceae	g__Chroococcidiopsis_PCC_7203	s__norank
OTU_850	k__Bacteria	p__unidentified_Bacteria	c__Oligoflexia	o__Oligoflexales	f__norank	g__norank	s__norank
OTU_851	k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__RB41	s__norank
OTU_852	k__Bacteria	p__SAR324_clade(Marine_group_B)	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_853	k__Bacteria	p__unidentified_Bacteria	c__Saccharimonadia	o__Saccharimonadales	f__norank	g__norank	s__norank
OTU_854	k__Bacteria	p__Chloroflexi	c__JG30-KF-CM66	o__norank	f__norank	g__norank	s__norank
OTU_855	k__Bacteria	p__unidentified_Bacteria	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__norank	s__norank
OTU_856	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__norank
OTU_857	k__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__norank
OTU_858	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_859	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_860	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Planctomycetales	f__Schlesneriaceae	g__Planctopirus	s__norank
OTU_861	k__Bacteria	p__unidentified_Bacteria	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__norank	s__norank
OTU_862	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_suis
OTU_863	k__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__norank	g__norank	s__norank
OTU_864	k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Phaselicystidaceae	g__Phaselicystis	s__norank
OTU_865	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Candidatus_Udaeobacter	s__norank
OTU_866	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_fermentum
OTU_867	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp
OTU_868	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__norank
OTU_869	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methyloglobulus	s__norank
OTU_870	k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__Luteitalea	s__norank
OTU_871	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__norank	f__norank	g__norank	s__norank
OTU_872	k__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__Thermoanaerobaculaceae	g__Subgroup_10	s__norank
OTU_873	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus
OTU_874	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__Terrimicrobium	s__norank
OTU_875	k__Bacteria	p__unidentified_Bacteria	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__norank	s__norank
OTU_876	k__Bacteria	p__unidentified_Bacteria	c__Saccharimonadia	o__Saccharimonadales	f__norank	g__norank	s__norank
OTU_877	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Planctomycetales	f__Rubinisphaeraceae	g__Planctomicrobium	s__norank
OTU_878	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__norank	s__norank
OTU_879	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__norank	g__norank	s__norank
OTU_880	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_881	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_882	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Starkeya	s__norank
OTU_883	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Phaeodactylibacter	s__norank
OTU_884	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__norank	s__norank
OTU_885	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__unidentified_Chloroplast	g__unidentified_Chloroplast	s__Chloromonas_perforata
OTU_886	k__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__Syntrophobacter	s__norank
OTU_887	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__norank
OTU_888	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_periodonticum
OTU_889	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_890	k__Bacteria	p__Myxococcota	c__bacteriap25	o__norank	f__norank	g__norank	s__norank
OTU_891	k__Bacteria	p__Nitrospirota	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__norank	s__norank
OTU_892	k__Bacteria	p__Actinobacteriota	c__MB-A2-108	o__norank	f__norank	g__norank	s__norank
OTU_893	k__Bacteria	p__unidentified_Bacteria	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__norank	s__norank
OTU_894	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__norank
OTU_895	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__norank
OTU_896	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__PeM15	f__norank	g__norank	s__norank
OTU_897	k__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__Syntrophobacter	s__norank
OTU_898	k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__norank	g__norank	s__norank
OTU_899	k__Bacteria	p__SAR324_clade(Marine_group_B)	c__norank	o__norank	f__norank	g__norank	s__norank
OTU_900	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__norank
OTU_901	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Planctomycetales	f__Schlesneriaceae	g__Schlesneria	s__norank
OTU_902	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_UCG-014	f__norank	g__norank	s__norank
OTU_903	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank	g__norank	s__norank
OTU_904	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__A0839	g__norank	s__norank
OTU_905	k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__norank	s__norank
OTU_906	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__norank	g__norank	s__norank
OTU_907	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank
OTU_908	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus
OTU_909	k__Bacteria	p__Sumerlaeota	c__Sumerlaeia	o__Sumerlaeales	f__Sumerlaeaceae	g__Sumerlaea	s__norank
OTU_910	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__MND1	s__norank
OTU_911	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__unidentified_Chloroplast	g__unidentified_Chloroplast	s__Trachydiscus_minutus
