	logFC	logCPM	PValue	FDR	sig	color
OTU105	1.365566953	9.968274434	0.100990565	0.744961268	none	none
OTU1591	-1.799330445	9.962109417	0.100990565	0.744961268	none	none
OTU227	2.823055565	9.564232024	0.128118437	0.795318841	none	none
OTU189	2.822232367	9.563942628	0.128118437	0.795318841	none	none
OTU388	2.822155128	9.563887576	0.128118437	0.795318841	none	none
OTU264	2.821255145	9.563543172	0.128118437	0.795318841	none	none
OTU188	2.819750066	9.562865592	0.128118437	0.795318841	none	none
OTU249	2.810844711	9.559170811	0.128118437	0.795318841	none	none
OTU315	2.809874435	9.558772396	0.128118437	0.795318841	none	none
OTU202	2.204435733	9.710576735	0.130445601	0.795318841	none	none
OTU91	1.243501504	10.15027578	0.108581932	0.795318841	none	none
OTU69	1.068488877	10.19329926	0.130242504	0.795318841	none	none
OTU154	-1.395583977	9.843102211	0.116667134	0.795318841	none	none
OTU1222	-1.70066617	9.708105022	0.130445601	0.795318841	none	none
OTU270	-1.870488485	9.7442603	0.130445601	0.795318841	none	none
OTU206	-1.871931534	9.745570091	0.130445601	0.795318841	none	none
OTU382	-1.876241188	9.747058994	0.130445601	0.795318841	none	none
OTU195	-1.877514892	9.745435116	0.130445601	0.795318841	none	none
OTU245	-1.896321235	9.751918897	0.130445601	0.795318841	none	none
OTU295	-2.524824851	9.558928611	0.128118437	0.795318841	none	none
OTU343	-2.525040364	9.558946443	0.128118437	0.795318841	none	none
OTU111	-2.52514703	9.559100599	0.128118437	0.795318841	none	none
OTU221	-2.525317051	9.559087301	0.128118437	0.795318841	none	none
OTU210	-2.52681013	9.559856154	0.128118437	0.795318841	none	none
OTU246	-2.528304652	9.560625326	0.128118437	0.795318841	none	none
OTU991	-2.529445504	9.561213062	0.128118437	0.795318841	none	none
OTU146	-2.53214533	9.562609594	0.128118437	0.795318841	none	none
OTU655	-2.780899001	9.601554502	0.128118437	0.795318841	none	none
OTU363	-2.785169545	9.603684663	0.128118437	0.795318841	none	none
OTU1948	-2.787110431	9.604601961	0.128118437	0.795318841	none	none
OTU544	-2.787929507	9.605021627	0.128118437	0.795318841	none	none
OTU349	-2.789404719	9.605785631	0.128118437	0.795318841	none	none
OTU350	-2.789404719	9.605785631	0.128118437	0.795318841	none	none
OTU118	-2.789997968	9.606096846	0.128118437	0.795318841	none	none
OTU416	-2.79369729	9.607919896	0.128118437	0.795318841	none	none
OTU239	-2.796243394	9.609150431	0.128118437	0.795318841	none	none
OTU156	1.665601175	9.925218973	0.155960919	0.92723034	none	none
OTU215	-1.092651909	9.928362913	0.155960919	0.92723034	none	none
OTU117	-1.228486003	9.966159013	0.155960919	0.92723034	none	none
OTU100	-1.334788337	9.991938006	0.155960919	0.92723034	none	none
OTU176	-1.680622635	9.927588683	0.155960919	0.92723034	none	none
OTU36	-0.372210121	12.25769488	0.164013129	0.970275692	none	none
OTU151	2.481616512	9.514063806	0.253112033	1	none	none
OTU294	2.481616512	9.514063806	0.253112033	1	none	none
OTU341	2.481616512	9.514063806	0.253112033	1	none	none
OTU389	2.481616512	9.514063806	0.253112033	1	none	none
OTU411	2.481616512	9.514063806	0.253112033	1	none	none
OTU593	2.481616512	9.514063806	0.253112033	1	none	none
OTU891	2.481616512	9.514063806	0.253112033	1	none	none
OTU1895	2.481616512	9.514063806	0.253112033	1	none	none
OTU452	2.479182677	9.513037793	0.253112033	1	none	none
OTU124	2.47823233	9.512670922	0.253112033	1	none	none
OTU143	2.476823226	9.512066434	0.253112033	1	none	none
OTU157	2.47675274	9.512012417	0.253112033	1	none	none
OTU225	2.47675274	9.512012417	0.253112033	1	none	none
OTU193	2.471056844	9.509670474	0.253112033	1	none	none
OTU292	2.470986733	9.509616587	0.253112033	1	none	none
OTU285	2.470069448	9.509269647	0.253112033	1	none	none
OTU381	2.470069448	9.509269647	0.253112033	1	none	none
OTU437	2.470069448	9.509269647	0.253112033	1	none	none
OTU192	2.467653902	9.50824653	0.253112033	1	none	none
OTU513	2.467653902	9.50824653	0.253112033	1	none	none
OTU1161	2.019280547	9.458163234	0.502074689	1	none	none
OTU220	2.018452275	9.457809613	0.502074689	1	none	none
OTU237	2.018452275	9.457809613	0.502074689	1	none	none
OTU250	2.018452275	9.457809613	0.502074689	1	none	none
OTU251	2.018452275	9.457809613	0.502074689	1	none	none
OTU394	2.018452275	9.457809613	0.502074689	1	none	none
OTU406	2.018452275	9.457809613	0.502074689	1	none	none
OTU410	2.018452275	9.457809613	0.502074689	1	none	none
OTU1527	2.016006164	9.456782283	0.502074689	1	none	none
OTU515	2.013627154	9.455808434	0.502074689	1	none	none
OTU530	2.013627154	9.455808434	0.502074689	1	none	none
OTU686	2.013627154	9.455808434	0.502074689	1	none	none
OTU113	2.013564045	9.455755595	0.502074689	1	none	none
OTU184	2.013564045	9.455755595	0.502074689	1	none	none
OTU588	2.013564045	9.455755595	0.502074689	1	none	none
OTU604	2.013564045	9.455755595	0.502074689	1	none	none
OTU1042	2.013564045	9.455755595	0.502074689	1	none	none
OTU1176	2.013564045	9.455755595	0.502074689	1	none	none
OTU1448	2.013564045	9.455755595	0.502074689	1	none	none
OTU325	2.011188878	9.454782332	0.502074689	1	none	none
OTU196	2.00881741	9.453809603	0.502074689	1	none	none
OTU1939	2.00881741	9.453809603	0.502074689	1	none	none
OTU498	2.00781905	9.453407315	0.502074689	1	none	none
OTU186	2.006821336	9.453005113	0.502074689	1	none	none
OTU277	2.006821336	9.453005113	0.502074689	1	none	none
OTU319	2.006821336	9.453005113	0.502074689	1	none	none
OTU393	2.006821336	9.453005113	0.502074689	1	none	none
OTU441	2.006821336	9.453005113	0.502074689	1	none	none
OTU566	2.006821336	9.453005113	0.502074689	1	none	none
OTU568	2.006821336	9.453005113	0.502074689	1	none	none
OTU613	2.006821336	9.453005113	0.502074689	1	none	none
OTU837	2.006821336	9.453005113	0.502074689	1	none	none
OTU1600	2.006821336	9.453005113	0.502074689	1	none	none
OTU1676	1.693966666	9.616924495	0.224560886	1	none	none
OTU1352	1.691892862	9.614073232	0.380154705	1	none	none
OTU628	1.357867424	9.853344382	0.237128082	1	none	none
OTU1400	1.34957797	9.567321656	0.628092823	1	none	none
OTU318	1.344356753	9.565121949	0.628092823	1	none	none
OTU353	1.344347886	9.56287391	0.628092823	1	none	none
OTU248	1.341945076	9.564091809	0.628092823	1	none	none
